Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Kyrgyz Republic,KGZ,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..
Latvia,LVA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,30.0300006866455,30.9400005340576,..,32.1994808078856,32.5734919444113,33.2018814850714,..
Latvia,LVA,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,98.6668074272884,98.877589949487,98.681603827502,..
Latvia,LVA,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,43.5800018310547,48.3400001525879,..,48.171151170106,51.3423091599523,50.7353528321438,..
Latvia,LVA,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,100,100,..,99.7266382586609,99.6401434061211,99.5909947676685,..
Latvia,LVA,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,33.0699996948242,33.9799995422363,..,35.4262377898437,35.5834951880983,36.3576002292526,..
Latvia,LVA,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,90.3000030517578,90.9300003051758,..,89.2987290021353,89.8385781340585,89.2361244240762,..
Latvia,LVA,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,14.6000003814697,17.0300006866455,..,18.2374314218367,20.218222935531,20.1661528511804,..
Latvia,LVA,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,1.11000001430511,..,..,..,0.6033182058497,0.692002107070704,..
Liechtenstein,LIE,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..
Liechtenstein,LIE,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..,..,..
Liechtenstein,LIE,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,..,..,..
Liechtenstein,LIE,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..,..,..,..,..,..
Liechtenstein,LIE,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..,..,..,..,..,..
Liechtenstein,LIE,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..
Liechtenstein,LIE,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..
Liechtenstein,LIE,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..
Lithuania,LTU,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,35.9516875448363,37.327369377978,38.0999984741211,40.1166281496363,41.4149466041617,41.3070548478587,..
