Label_clean,Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Field Code: SPSS,Domain,Level,Helper,Column_category
GEN\SHORTAGE\MAT\CONCRETE_OBJECTS,How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Concrete objects or materials to help students understand quantities or procedures,ACBG11BE,ACBLG10BE,ScQ-11Be,ScQ-10Be,School,GEN\SHORTAGE\MAT\CONCRETE OBJECTS (2023),✓,✓,✓,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SHORTAGE\MAT\CONCRETE OBJECTS,Background Questionnaire Variables
GEN\SHORTAGE\MAT\LIBRARY_RESOURCES,How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Library resources relevant to mathematics instruction,ACBG11BC,ACBLG10BC,ScQ-11Bc,ScQ-10Bc,School,GEN\SHORTAGE\MAT\LIBRARY RESOURCES (2023),✓,✓,✓,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SHORTAGE\MAT\LIBRARY RESOURCES,Background Questionnaire Variables
GEN\SHORTAGE\MAT\TEACH_SPEC_MATH,How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Teachers with a specialization in mathematics,ACBG11BA,ACBLG10BA,ScQ-11Ba,ScQ-10Ba,School,GEN\SHORTAGE\MAT\TEACH SPEC MATH (2023),✓,✓,✓,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SHORTAGE\MAT\TEACH SPEC MATH,Background Questionnaire Variables
GEN\SHORTAGE\SCI\COMPUTER_SOFTWARE,How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Computer software/applications for science instruction,ACBG11CB,ACBLG10CB,ScQ-11Cb,ScQ-11Cb,School,GEN\SHORTAGE\SCI\COMPUTER SOFTWARE (2023),✓,✓,✓,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SHORTAGE\SCI\COMPUTER SOFTWARE,Background Questionnaire Variables
GEN\SHORTAGE\SCI\LIBRARY_RESOURCES,How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Library resources relevant to science instruction,ACBG11CC,ACBLG10CC,ScQ-11Cc,ScQ-11Cc,School,GEN\SHORTAGE\SCI\LIBRARY RESOURCES (2023),✓,✓,✓,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SHORTAGE\SCI\LIBRARY RESOURCES,Background Questionnaire Variables
GEN\SHORTAGE\SCI\SCIENCE_EQUIPMENT,How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Science equipment and materials for experiments,ACBG11CD,ACBLG10CD,ScQ-11Cd,ScQ-11Cd,School,GEN\SHORTAGE\SCI\SCIENCE EQUIPMENT (2023),✓,✓,✓,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SHORTAGE\SCI\SCIENCE EQUIPMENT,Background Questionnaire Variables
GEN\SHORTAGE\SCI\TEACH_SPEC_SCIENCE,How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Teachers with a specialization in science,ACBG11CA,ACBLG10CA,ScQ-11Ca,ScQ-10Ca,School,GEN\SHORTAGE\SCI\TEACH SPEC SCIENCE (2023),✓,✓,✓,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SHORTAGE\SCI\TEACH SPEC SCIENCE,Background Questionnaire Variables
GEN\SKILLS\COUNT_BY_HIM-/HERSELF,Could your child do the following when he/she began the <first grade> of primary/elementary school? Count by himself/herself,ASBH07A,,HQ-07a,,Home,GEN\SKILLS\COUNT BY HIM-/HERSELF (2023),✓,,,1: Not at all; 2: Up to 10; 3: Up to 20; 4: Up to 100 or higher,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: Up to 10; 3: Up to 20; 4: Up to 100 or higher; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\COUNT BY HIM-/HERSELF,Background Questionnaire Variables
GEN\SKILLS\READ_A_STORY,How well could your child do the following when he/she began the <first grade> of primary/elementary school? Read a story,ASBH06D,,HQ-06d,,Home,GEN\SKILLS\READ A STORY (2023),✓,,,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all,9: Omitted or invalid; Sysmis: Not administered,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\READ A STORY,Background Questionnaire Variables
GEN\SKILLS\READ_SENTENCES,How well could your child do the following when he/she began the <first grade> of primary/elementary school? Read sentences,ASBH06C,,HQ-06c,,Home,GEN\SKILLS\READ SENTENCES (2023),✓,,,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all,9: Omitted or invalid; Sysmis: Not administered,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\READ SENTENCES,Background Questionnaire Variables
GEN\SKILLS\READ_SOME_WORDS,How well could your child do the following when he/she began the <first grade> of primary/elementary school? Read some words,ASBH06B,,HQ-06b,,Home,GEN\SKILLS\READ SOME WORDS (2023),✓,,,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all,9: Omitted or invalid; Sysmis: Not administered,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\READ SOME WORDS,Background Questionnaire Variables
GEN\SKILLS\RECOG_WRITTEN_NUMERAL,Could your child do the following when he/she began the <first grade> of primary/elementary school? Recognize written numbers,ASBH07B,,HQ-07b,,Home,GEN\SKILLS\RECOG WRITTEN NUMERAL (2023),✓,,,1: Not at all; 2: Up to 10; 3: Up to 20; 4: Up to 100 or higher,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: Up to 10; 3: Up to 20; 4: Up to 100 or higher; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\RECOG WRITTEN NUMERAL,Background Questionnaire Variables
GEN\SKILLS\RECOGNIZE_LETTERS,How well could your child do the following when he/she began the <first grade> of primary/elementary school? Recognize the letters of the alphabet,ASBH06A,,HQ-06a,,Home,GEN\SKILLS\RECOGNIZE LETTERS (2023),✓,,,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all,9: Omitted or invalid; Sysmis: Not administered,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\RECOGNIZE LETTERS,Background Questionnaire Variables
GEN\SKILLS\SIMPLE_ADDITION,Could your child do the following when he/she began the <first grade> of primary/elementary school? Do simple addition,ASBH07D,,HQ-07d,,Home,GEN\SKILLS\SIMPLE ADDITION (2023),✓,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\SKILLS\SIMPLE ADDITION,Background Questionnaire Variables
GEN\SKILLS\SIMPLE_SUBTRACTION,Could your child do the following when he/she began the <first grade> of primary/elementary school? Do simple subtraction,ASBH07E,,HQ-07e,,Home,GEN\SKILLS\SIMPLE SUBTRACTION (2023),✓,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\SKILLS\SIMPLE SUBTRACTION,Background Questionnaire Variables
GEN\SKILLS\WRITE_LETTERS,How well could your child do the following when he/she began the <first grade> of primary/elementary school? Write letters of the alphabet,ASBH06E,,HQ-06e,,Home,GEN\SKILLS\WRITE LETTERS (2023),✓,,,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all,9: Omitted or invalid; Sysmis: Not administered,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\WRITE LETTERS,Background Questionnaire Variables
GEN\SKILLS\WRITE_NAME,How well could your child do the following when he/she began the <first grade> of primary/elementary school? Write his/her name,ASBH06F,,HQ-06f,,Home,GEN\SKILLS\WRITE NAME (2023),✓,,,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all,9: Omitted or invalid; Sysmis: Not administered,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\WRITE NAME,Background Questionnaire Variables
GEN\SKILLS\WRITE_NUMBERS,Could your child do the following when he/she began the <first grade> of primary/elementary school? Write numbers,ASBH07C,,HQ-07c,,Home,GEN\SKILLS\WRITE NUMBERS (2023),✓,,,1: Not at all; 2: Up to 10; 3: Up to 20; 4: Up to 100 or higher,9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: Up to 10; 3: Up to 20; 4: Up to 100 or higher; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\WRITE NUMBERS,Background Questionnaire Variables
GEN\SKILLS\WRITE_WORDS,How well could your child do the following when he/she began the <first grade> of primary/elementary school? Write words other than his/her name,ASBH06G,,HQ-06g,,Home,GEN\SKILLS\WRITE WORDS (2023),✓,,,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all,9: Omitted or invalid; Sysmis: Not administered,1: Very well; 2: Moderately well; 3: Not very well; 4: Not at all; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\SKILLS\WRITE WORDS,Background Questionnaire Variables
GEN\STUDENTS_BACKGROUND\ECONOMIC_AFFLUEN,Approximately what percentage of students in your school have the following backgrounds? Come from economically affluent homes,ACBG03B,ACBLG02B,ScQ-03b,ScQ-02b,School,GEN\STUDENTS BACKGROUND\ECONOMIC AFFLUEN (2023),✓,✓,✓,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%,9: Omitted or invalid; Sysmis: Not administered,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\STUDENTS BACKGROUND\ECONOMIC AFFLUEN,Background Questionnaire Variables
GEN\STUDENTS_BACKGROUND\ECONOMIC_DISADVA,Approximately what percentage of students in your school have the following backgrounds? Come from economically disadvantaged homes,ACBG03A,ACBLG02A,ScQ-03a,ScQ-02a,School,GEN\STUDENTS BACKGROUND\ECONOMIC DISADVA (2023),✓,✓,✓,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%,9: Omitted or invalid; Sysmis: Not administered,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\STUDENTS BACKGROUND\ECONOMIC DISADVA,Background Questionnaire Variables
GEN\THINKING_ABT_CURR_SCH\FEEL_SAFE,How much do you agree or disagree with the following statements about your current school? I feel safe at this school,ATBG07A,,TQG-07a,,Teacher,GEN\THINKING ABT CURR SCH\FEEL SAFE (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\THINKING_ABT_CURR_SCH\RESPECT_PROPERTY,How much do you agree or disagree with the following statements about your current school? The students respect school property,ATBG07E,,TQG-07e,,Teacher,GEN\THINKING ABT CURR SCH\RESPECT PROPERTY (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\THINKING_ABT_CURR_SCH\RULES_ENFORCED,How much do you agree or disagree with the following statements about your current school? This school's rules are enforced in a fair and consistent manner,ATBG07G,,TQG-07g,,Teacher,GEN\THINKING ABT CURR SCH\RULES ENFORCED (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\THINKING_ABT_CURR_SCH\SCH_CLEAR_RULES,How much do you agree or disagree with the following statements about your current school?  This school has clear rules about student conduct,ATBG07F,,TQG-07f,,Teacher,GEN\THINKING ABT CURR SCH\SCH CLEAR RULES (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\THINKING_ABT_CURR_SCH\SECURITY_POLIC,How much do you agree or disagree with the following statements about your current school? This school's security policies and practices are sufficient,ATBG07B,,TQG-07b,,Teacher,GEN\THINKING ABT CURR SCH\SECURITY POLIC (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\THINKING_ABT_CURR_SCH\STUD_BEHAVE,How much do you agree or disagree with the following statements about your current school?  The students behave in an orderly manner,ATBG07C,,TQG-07c,,Teacher,GEN\THINKING ABT CURR SCH\STUD BEHAVE (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\THINKING_ABT_CURR_SCH\STUD_RESPECT,How much do you agree or disagree with the following statements about your current school? The students are respectful of the teachers,ATBG07D,,TQG-07d,,Teacher,GEN\THINKING ABT CURR SCH\STUD RESPECT (2023),✓,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\TOTAL_INSTRUCTIONAL_TIME,"For the <fifth grade> students in your school: What is the total instructional time, excluding breaks, in a typical day? (minutes)",ACBG06B,ACBLG04B,ScQ-06B,ScQ-04B,School,GEN\TOTAL INSTRUCTIONAL TIME (2023),✓,✓,✓,,999: Omitted or invalid; Sysmis: Not administered,999: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ratio,GEN\TOTAL INSTRUCTIONAL TIME,Background Questionnaire Variables
GEN\TOTAL_NUMBER_COMPUTERS,How many computers (including tablets) does your school have for use by <fourth grade> students?,ACBG07,ACBLG05,ScQ-07,ScQ-05,School,GEN\TOTAL NUMBER COMPUTERS (2023),✓,✓,✓,,9999: Omitted or invalid; Sysmis: Not administered,9999: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ratio,GEN\TOTAL NUMBER COMPUTERS,Background Questionnaire Variables
GEN\WERE_YOU_BORN_IN_<COUNTRY>,Were you born in <country>?,ASBG07,,SQG-07,,Student,GEN\WERE YOU BORN IN <COUNTRY> (2023),✓,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,,
GEN\WERE_YOUR_<PARENTS/GUARDIAN_A>_BORN_IN_<COUNTRY>,Were your <parents/guardians> born in <country>? <Parent/Guardian A>,ASBG06A,,SQG-06A,,Student,GEN\WERE YOUR <PARENTS/GUARDIAN A> BORN IN <COUNTRY> (2023),✓,,,1: Yes; 2: No; 3: I don’t know; 4: Not applicable,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 3: I don’t know; 4: Not applicable; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,,
GEN\WERE_YOUR_<PARENTS/GUARDIAN_B>_BORN_IN_<COUNTRY>,Were your <parents/guardians> born in <country>? <Parent/Guardian B>,ASBG06B,,SQG-06B,,Student,GEN\WERE YOUR <PARENTS/GUARDIAN B> BORN IN <COUNTRY> (2023),✓,,,1: Yes; 2: No; 3: I don’t know; 4: Not applicable,9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; 3: I don’t know; 4: Not applicable; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,,
GEN\WHAT_KIND_OF_MAIN_JOB\<PARENT/GUARDIAN_A>,"What kind of work do the child’s <parents/guardians> do for their main jobs? <Parent/Guardian A>
",ASBH18A,ASBLH15A,HQ-18a,HQ-15a,Home,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN A> (2023),✓,✓,✓,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable,99: Omitted or invalid; Sysmis: Not administered,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable; 99: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN A>,Background Questionnaire Variables
GEN\WHAT_KIND_OF_MAIN_JOB\<PARENT/GUARDIAN_B>,What kind of work do the child's <parents/guardians> do for their main jobs? <Parent/Guardian B>,ASBH18B,ASBLH15B,,HQ-18b,Home,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN B> (2023),✓,✓,✓,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable,99: Omitted or invalid; Sysmis: Not administered,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable; 99: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Nominal,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN B>,Background Questionnaire Variables
GEN\YEARS_BEEN_TEACHING,"By the end of this school year, how many years will you have been teaching altogether?",ATBG01,ATBLG01,TQG-01,TQG-01,Teacher,GEN\YEARS BEEN TEACHING (2023),✓,✓,✓,,99: Omitted or invalid; Sysmis: Not administered,99: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ratio,,
GEN\YEARS_PRINCIPAL_ALTOGETHER,"By the end of this school year, how many years will you have been a principal altogether?",ACBG17,ACBLG16,ScQ-17,ScQ-16,School,GEN\YEARS PRINCIPAL ALTOGETHER (2023),✓,✓,✓,,99: Omitted or invalid; Sysmis: Not administered,99: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ratio,,
GEN\YEARS_PRINCIPAL_AT_THIS_SCHOOL,"By the end of this school year, how many years will you have been a principal at this school?",ACBG18,ACBLG17,ScQ-18,ScQ-17,School,GEN\YEARS PRINCIPAL AT THIS SCHOOL (2023),✓,✓,✓,,99: Omitted or invalid; Sysmis: Not administered,99: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ratio,,
MAT\ACCESS_TO_DEVICES\CLASS_HAS_DEVICES_TO_SHARE,What access do the students have to digital devices? The class has digital devices that students can share,ATBM04BB,ATBLM04BB,TQM-04Bb,TQM-04Bb,Teacher,MAT\ACCESS TO DEVICES\CLASS HAS DEVICES TO SHARE (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
MAT\ACCESS_TO_DEVICES\EACH_STD_HAS_A_DEVICE,What access do the students have to digital devices? The class has digital devices for each student to use,ATBM04BA,ATBLM04BA,TQM-04Ba,TQM-04Ba,Teacher,MAT\ACCESS TO DEVICES\EACH STD HAS A DEVICE (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
MAT\ACCESS_TO_DEVICES\HOW_OFTEN,How often do you have students use digital devices during mathematics instruction?,ATBM04C,ATBLM04C,TQM-04C,TQM-04C,Teacher,MAT\ACCESS TO DEVICES\HOW OFTEN (2023),✓,✓,✓,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
MAT\ACCESS_TO_DEVICES\HOW_OFTEN\CREATE_DATA_DISPLAYS,"How often do you ask the students in your class to use digital devices to do these mathematics activities? Create graphs, tables, or other data displays",ATBM04DC,ATBLM04DC,TQM-04Dc,TQM-04Dc,Teacher,MAT\ACCESS TO DEVICES\HOW OFTEN\CREATE DATA DISPLAYS (2023),✓,✓,✓,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
MAT\ACCESS_TO_DEVICES\HOW_OFTEN\EXTENDED_PROBLEMS,How often do you ask the students in your class to use digital devices to do these mathematics activities? Solve extended for contextualized problems,ATBM04DB,ATBLM04DB,TQM-04Db,TQM-04Db,Teacher,MAT\ACCESS TO DEVICES\HOW OFTEN\EXTENDED PROBLEMS (2023),✓,✓,✓,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
MAT\ACCESS_TO_DEVICES\HOW_OFTEN\PLAY_GAMES,How often do you ask the students in your class to use digital devices to do these mathematics activities? Play games involving mathematics calculations or concepts,ATBM04DD,ATBLM04DD,TQM-04Dd,TQM-04Dd,Teacher,MAT\ACCESS TO DEVICES\HOW OFTEN\PLAY GAMES (2023),✓,✓,✓,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
MAT\ACCESS_TO_DEVICES\HOW_OFTEN\PRACTICE_PROBLEMS,How often do you ask the students in your class to use digital devices to do these mathematics activities? Practice problems and procedures,ATBM04DA,ATBLM04DA,TQM-04Da,TQM-04Da,Teacher,MAT\ACCESS TO DEVICES\HOW OFTEN\PRACTICE PROBLEMS (2023),✓,✓,✓,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
MAT\ACCESS_TO_DEVICES\HOW_OFTEN\READ_TEXTBOOK,How often do you ask the students in your class to use digital devices to do these mathematics activities? Read the textbook or watch instructional videos,ATBM04DE,ATBLM04DE,TQM-04De,TQM-04De,Teacher,MAT\ACCESS TO DEVICES\HOW OFTEN\READ TEXTBOOK (2023),✓,✓,✓,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
MAT\ACCESS_TO_DEVICES\HOW_OFTEN\TAKE_A_TEST,How often do you ask the students in your class to use digital devices to do these mathematics activities? Take a test,ATBM04DF,ATBLM04DF,TQM-04Df,TQM-04Df,Teacher,MAT\ACCESS TO DEVICES\HOW OFTEN\TAKE A TEST (2023),✓,✓,✓,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: At least once a week; 2: Once or twice a month; 3: A few times a year; 4: Never or almost never; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
MAT\ACCESS_TO_DEVICES\SCHOOL_HAS_DEVICES,What access do the students have to digital devices? The school has digital devices that the class can use sometimes,ATBM04BC,ATBLM04BC,TQM-04Bc,TQM-04Bc,Teacher,MAT\ACCESS TO DEVICES\SCHOOL HAS DEVICES (2023),✓,✓,✓,1: Yes; 2: No,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Yes; 2: No; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Nominal,,
