Variable code,Variable,Helper,Scale,Missing/Omitted,Questionnaire Type,2023,2024,Change,Matched,Category,Add to Master
ASBLH13A,GEN\LVL OF EDUCATION\<PARENT/GUARDIAN A> (2024),GEN\LVL OF EDUCATION\<PARENT/GUARDIAN A>,"1: Did not go to school; 2: Some <Primary education—ISCED Level 1 or Lower secondary education—ISCED Level 2>; 3: <Lower secondary education—ISCED Level 2>; 4: <Upper secondary education—ISCED Level 3>; 5: <Post-secondary, non-tertiary education—ISCED Level 4>; 6: <Short-cycle tertiary education—ISCED Level 5>; 7: <Bachelor’s or equivalent level—ISCED Level 6>; 8: <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>; 9: Not applicable",99: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASBH16B,GEN\LVL OF EDUCATION\<PARENT/GUARDIAN B> (2023),GEN\LVL OF EDUCATION\<PARENT/GUARDIAN B>,"1: Did not go to school; 2: Some <Primary education—ISCED Level 1 or Lower secondary education—ISCED Level 2>; 3: <Lower secondary education—ISCED Level 2>; 4: <Upper secondary education—ISCED Level 3>; 5: <Post-secondary, non-tertiary education—ISCED Level 4>; 6: <Short-cycle tertiary education—ISCED Level 5>; 7: <Bachelor’s or equivalent level—ISCED Level 6>; 8: <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>; 9: Not applicable",99: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,Both,,Home SES,
ASBLH13B,GEN\LVL OF EDUCATION\<PARENT/GUARDIAN B> (2024),GEN\LVL OF EDUCATION\<PARENT/GUARDIAN B>,"1: Did not go to school; 2: Some <Primary education—ISCED Level 1 or Lower secondary education—ISCED Level 2>; 3: <Lower secondary education—ISCED Level 2>; 4: <Upper secondary education—ISCED Level 3>; 5: <Post-secondary, non-tertiary education—ISCED Level 4>; 6: <Short-cycle tertiary education—ISCED Level 5>; 7: <Bachelor’s or equivalent level—ISCED Level 6>; 8: <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>; 9: Not applicable",99: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASBH17,GEN\LVL OF EDUCATION\CHILD (2023),GEN\LVL OF EDUCATION\CHILD,"1: Finish <Lower secondary education—ISCED Level 2>; 2: Finish <Upper secondary education—ISCED Level 3>; 3: Finish <Post-secondary, non-tertiary education—ISCED Level 4>; 4: Finish <Short-cycle tertiary education —ISCED Level 5>; 5: Finish <Bachelor’s or equivalent level—ISCED Level 6>; 6: Finish <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>",9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,Both,,Home SES,
ASBLH14,GEN\LVL OF EDUCATION\CHILD (2024),GEN\LVL OF EDUCATION\CHILD,"1: Finish <Lower secondary education—ISCED Level 2>; 2: Finish <Upper secondary education—ISCED Level 3>; 3: Finish <Post-secondary, non-tertiary education—ISCED Level 4>; 4: Finish <Short-cycle tertiary education —ISCED Level 5>; 5: Finish <Bachelor’s or equivalent level—ISCED Level 6>; 6: Finish <Postgraduate degree: Master’s—ISCED Level 7 or Doctor—ISCED Level 8>",9: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASBH18A,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN A> (2023),GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN A>,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable,99: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,Both,,Home SES,
ASBLH15A,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN A> (2024),GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN A>,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable,99: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASBH18B,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN B> (2023),GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN B>,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable,99: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,✓,,Both,,Home SES,
ASBLH15B,GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN B> (2024),GEN\WHAT KIND OF MAIN JOB\<PARENT/GUARDIAN B>,1: Has never worked for pay; 2: Small Business Owner; 3: Clerical Worker; 4: Service or Sales Worker; 5: Skilled Agricultural or Fishery Worker; 6: Craft or Trade Worker; 7: Plant or Machine Operator; 8: General Laborers; 9: Corporate Manager or Senior Official; 10: Professional; 11: Technician or Associate Professional; 12: Not applicable,99: Omitted or invalid; Sysmis: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASDHSES,Home Socioeconomic Status/IDX (2023),Home Socioeconomic Status/IDX,1: Higher; 2: Middle; 3: Lower,9: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,✓,,Both,,Home SES,
ASDLHSES,Home Socioeconomic Status/IDX (2024),Home Socioeconomic Status/IDX,1: Higher; 2: Middle; 3: Lower,9: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASBHSES,Home Socioeconomic Status/SCL (2023),Home Socioeconomic Status/SCL,,999999: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,✓,,Both,,Home SES,
