Variable,Label,Question Location,Level,Width,Decimals,Range Minimum,Range Maximum,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Missing Scheme Detailed: SAS,Field Code: SPSS,Field Code: SAS,Domain,Variable Class,Comment
ACBG12E,GEN\SCH CHARACTER\PARENTAL INVOLVEMENT (2023),ScQ-12e,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12F,GEN\SCH CHARACTER\PARENTAL COMMITMENT (2023),ScQ-12f,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12G,GEN\SCH CHARACTER\PARENTAL EXPECTATIONS (2023),ScQ-12g,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12H,GEN\SCH CHARACTER\PARENTAL SUPPORT (2023),ScQ-12h,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12I,GEN\SCH CHARACTER\STD DESIRE TO DO WELL (2023),ScQ-12i,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12J,GEN\SCH CHARACTER\STD REACH GOALS (2023),ScQ-12j,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12K,GEN\SCH CHARACTER\STD RESPECT (2023),ScQ-12k,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13A,GEN\SCH ENVIRONMENT\SHARED VISION (2023),ScQ-13a,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13B,GEN\SCH ENVIRONMENT\REVIEWS PRACTICES (2023),ScQ-13b,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13C,GEN\SCH ENVIRONMENT\SCHOOLWIDE APPROACH (2023),ScQ-13c,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13D,GEN\SCH ENVIRONMENT\TEACH TO APPRECIATE (2023),ScQ-13d,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13E,GEN\SCH ENVIRONMENT\TEACH HOW TO TAKE ACTION (2023),ScQ-13e,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13F,GEN\SCH ENVIRONMENT\ENCOURAGE TEACHERS (2023),ScQ-13f,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13G,GEN\SCH ENVIRONMENT\PROMOTES COMMUNITY (2023),ScQ-13g,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG13H,GEN\SCH ENVIRONMENT\SCH PROMOTES PARTICIPATION (2023),ScQ-13h,Ordinal,1,0,,,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14A,GEN\DEGREE PROBS\ARRIVING LATE AT SCHOOL (2023),ScQ-14a,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14B,GEN\DEGREE PROBS\ABSENTEEISM (2023),ScQ-14b,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14C,GEN\DEGREE PROBS\CLASSROOM DISTURBANCE (2023),ScQ-14c,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14D,GEN\DEGREE PROBS\CHEATING (2023),ScQ-14d,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14E,GEN\DEGREE PROBS\PROFANITY (2023),ScQ-14e,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14F,GEN\DEGREE PROBS\VANDALISM (2023),ScQ-14f,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14G,GEN\DEGREE PROBS\THEFT (2023),ScQ-14g,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14H,GEN\DEGREE PROBS\INTIMIDATION AMONG STUD (2023),ScQ-14h,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14I,GEN\DEGREE PROBS\PHYSICAL FIGHT (2023),ScQ-14i,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG14J,GEN\DEGREE PROBS\INTIMIDATION OF TEACHER (2023),ScQ-14j,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG15A,GEN\DEGREE PROBS TEACH\ARRIVING LATE AT SCHOOL (2023),ScQ-15a,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG15B,GEN\DEGREE PROBS TEACH\ABSENTEEISM (2023),ScQ-15b,Ordinal,1,0,,,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; 9: Omitted or invalid; Sysmis: Not administered,1: Not a problem; 2: Minor problem; 3: Moderate problem; 4: Serious problem; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16A,GEN\PRIMARY SCHOOL\RECOGNIZE LETTERS (2023),ScQ-16a,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16B,GEN\PRIMARY SCHOOL\READ WORDS (2023),ScQ-16b,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16C,GEN\PRIMARY SCHOOL\READ SENTENCES (2023),ScQ-16c,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16D,GEN\PRIMARY SCHOOL\WRITE LETTERS (2023),ScQ-16d,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16E,GEN\PRIMARY SCHOOL\WRITE NAMES (2023),ScQ-16e,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16F,GEN\PRIMARY SCHOOL\WRITE WORDS (2023),ScQ-16f,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16G,GEN\PRIMARY SCHOOL\COUNT UP TO 100 (2023),ScQ-16g,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16H,GEN\PRIMARY SCHOOL\RECOGNIZE NUMBERS FROM (2023),ScQ-16h,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16I,GEN\PRIMARY SCHOOL\NUMBERS HIGHER THAN (2023),ScQ-16i,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16J,GEN\PRIMARY SCHOOL\WRITE NUMBERS (2023),ScQ-16j,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16K,GEN\PRIMARY SCHOOL\DO SIMPLE ADDITION (2023),ScQ-16k,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG16L,GEN\PRIMARY SCHOOL\DO SIMPLE SUBTRACTION (2023),ScQ-16l,Ordinal,1,0,,,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; 9: Omitted or invalid; Sysmis: Not administered,1: Less than 25%; 2: 25–50%; 3: 51–75%; 4: More than 75%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG17,GEN\YEARS PRINCIPAL ALTOGETHER (2023),ScQ-17,Ratio,2,0,0,60,,99: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,99: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG18,GEN\YEARS PRINCIPAL AT THIS SCHOOL (2023),ScQ-18,Ratio,2,0,0,60,,99: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,99: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG19,GEN\HIGHEST LEVEL OF FORMAL EDUCATION (2023),ScQ-19,Ordinal,1,0,,,1: Did not complete <Bachelor’s or equivalent level—ISCED Level 6>; 2: <Bachelor’s or equivalent level—ISCED Level 6>; 3: <Master’s or equivalent level—ISCED Level 7>; 4: <Doctor or equivalent level—ISCED Level 8>,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Did not complete <Bachelor’s or equivalent level—ISCED Level 6>; 2: <Bachelor’s or equivalent level—ISCED Level 6>; 3: <Master’s or equivalent level—ISCED Level 7>; 4: <Doctor or equivalent level—ISCED Level 8>; 9: Omitted or invalid; Sysmis: Not administered,1: Did not complete <Bachelor’s or equivalent level—ISCED Level 6>; 2: <Bachelor’s or equivalent level—ISCED Level 6>; 3: <Master’s or equivalent level—ISCED Level 7>; 4: <Doctor or equivalent level—ISCED Level 8>; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG20A,GEN\QUALIFICATIONS IN EDUCATIONAL LEADERSHIP\<CERTIFICATE OR LICENSE> (2023),ScQ-20a,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG20B,GEN\QUALIFICATIONS IN EDUCATIONAL LEADERSHIP\ISCED 7 (2023),ScQ-20b,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG20C,GEN\QUALIFICATIONS IN EDUCATIONAL LEADERSHIP\ISCED 8 (2023),ScQ-20c,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG21A,GEN\COVID\<2019-2020> SCHOOL YEAR NUMBER OF MONTHS CLOSED (2023),ScQ-21a,Ordinal,1,0,,,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months; 9: Omitted or invalid; Sysmis: Not administered,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG21B,GEN\COVID\<2020-2021> SCHOOL YEAR NUMBER OF MONTHS CLOSED (2023),ScQ-21b,Ordinal,1,0,,,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months; 9: Omitted or invalid; Sysmis: Not administered,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG21C,GEN\COVID\<2021-2022> SCHOOL YEAR NUMBER OF MONTHS CLOSED (2023),ScQ-21c,Ordinal,1,0,,,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months; 9: Omitted or invalid; Sysmis: Not administered,1: The school did not fully close; 2: Less than 1 month; 3: 1 to 3 months; 4: 4 to 6 months; 5: More than 6 months; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
